indispensable adj．不可缺乏的
prudish adj．过分守礼的，假道学的
holocaust n．大屠杀，浩劫
reproof n．斥责，责备
exacting adj.苛求的，要求严格的
ballad n.歌谣,小曲
enormous adj．极大的,巨大的
chastise v．严厉惩罚，遣责
monstrous adj．巨大的，可怕的
demeanor n．举止，行为
balm n.香油,药膏
manacle n．镣铐
neurosis n．精神病
valetudinarian n．体弱的人，过份担心生病的人
armada n．舰队
corroborate v．支持或证实，强化
spike n．长钉，大钉
laceration n．撕裂，裂口
disengaged adj．空闲的，无公务在身的
ransom n．赎金，赎身，v．赎回，解救
macrocosm n．宇宙，宏观世界
discern v．（费劲）识别，看出
conjugal adj.婚姻的，夫妻的
detractor v．贬低者
rejuvenate v．使返老还童，回春
maxim n．格言，普遍真理
mock v．嘲笑，模仿地嘲弄
mnemonics n．记忆法，
junk n.废物，废旧货
perversion n．堕落，曲解
mitigate v．减轻，缓和
affectation n．做作，虚假
insurrection n．造反,叛乱
cuff n．袖口，v．用手轻拍
authorization n.授权,委任状
fishery n．渔场
embryo n．胚胎
descry v．远远看到，望见
haft n．柄，把柄
preach v．传教,讲道
rusticate n．过乡间生活
sullen adj．忧郁的，不高兴的
husk n．外壳，皮，荚
haft n．柄，把柄
emaciated adj.瘦弱的
repellent adj．令人厌恶的
petrology n．岩石学
draconian adj.严峻的，苛刻的
vulnerable adj．易受攻击的，脆弱的
proficient adj．熟练的,精通的
convert v．使改变（信仰等）n．改变信仰的人
playwright n．剧作家
onslaught n．猛攻，猛袭
hide n．兽皮
impromptu adj．即席的，即兴的
scathing n.苛刻的,严厉的
ordain v．任命，命令
personalities n．诽谤
corrugate v．（使）起波浪形，起皱纹
predominant adj．有势力的,显著的
apparel n．（精致的）衣服
embezzlement n.贪污，侵吞
bronchitis n．支气管炎
gobble v．贪婪地吃，吞没
regenerate adj．改过自新的，新生的
elude v.逃避,
staccato adj．（音乐）断音的，不连贯的
optimism n．乐观主义
wiliness n．狡猾，诡计多端
hull n．外壳，荚，船身
medium n．媒介，（细菌等）生存环境
theology n．神学，宗教
deity n．神，神性
obdurate adj．固执的，顽固的
lessee n．（房地产的）租户
armistice n．休战，停战
arraign v.指责，控告
glean v．拾落穗，收集（材料等）
averse adj.厌恶的,反对的
nullity n．无效，无兴趣
subsidy n．补助金
jaunt v．短程旅游
parlous adj．靠不住的，危险的
extremity n．极度,绝境
