dual adj．双重的
claustrophobia n.幽闭恐怖症
unctuous adj．油腔滑调的
fusillade n．（枪炮）齐射，连发
secrete v．分泌，藏匿
elm n．榆树
rigor n．严厉，酷厉
cleft n.裂缝
mourn v．哀悼，哀伤
belongings n．所有物，财产
intermingle v．混合,搀杂
oasis n．绿州
listless adj．无精打采的
vendor n．小贩
obstetrics n．产科学，助产术
pretension n．自命不凡
embodiment n．化身，体现
kennel n．狗舍，狗窝
comprehensive adj．全面的，综合的
unanimous adj．全体意见一致的
libidinous adj．性欲强的，好色的
paragon n．模范，典型
cloying adj.甜得发腻的
sibylline adj．预言的
jaundiced adj．有偏见的
affable adj．易于交谈的，和蔼的
procession n．行列,前进
elucidate v.阐明说明
rescript n．公告，法令，重抄
fresco n．壁画
impose v．征税，强加
shrill adj．尖锐的、剌耳的
cantata n．清唱剧
smug adj．自满的，自命不凡的
axiom n.公理,定理
crochet n．钩针织物v．用钩针编织
incline n　斜坡v．倾斜，爱好
strident 　adj．尖声的，刺耳的
inalienable adj．不可剥夺的
panache n.夸耀，炫耀
gourmand n．嗜食者
debut n．初次登台，初次露面
blasphemous adj．对神不敬的
disparate adj．迥然不同的，不可并论的
retailer n．零售商
frigidity n．寒冷，冷淡，性冷淡
odium n．憎恶，反感
detour n．弯路，绕行之路
whittle v．削（木头），削减
rickety adj.摇摇晃晃的，不牢固的
finicky adj．苛求的，过份讲究的
palpitate v．（心脏）急速而不规则地跳动
denounce v．指责，揭发
marine adj．海的，海中的
humanity n．人类，人文学科
jamb n．门窗的侧柱
chromatic adj．彩色的，五彩的
addendum n.补遗，附录(复：addenda)
retribution n．报应，罚
indignant adj．愤慨的，愤愤不平的
interminable adj．无尽头的
supersede v．淘汰，取代
morphemics n．构词学
toxic adj．有毒的，中毒的
wither v．枯萎，凋零
titular adj．有名无实的，名义上的
infinitesimal adj．极微小的
compassion n.同情，怜悯
abet v．教唆，协助（罪犯）
toupee n．男用假发
quibble n．遁词，吹毛求疵的反对意见
frump n.衣着守旧的人
censure n．v．责难，非难
