compatibility n.和谐共处，不矛盾
pharmaceutical adj．制药的
grateful adj．感激的
recoup v.重获，补偿
drudge v．劳碌，做苦差事，n．劳碌的人
conjurer n．魔术师
ascendancy n．统治权，支配力量
wanton adj．顽皮的，放纵的
heading n．标题，航向
puissance n．权力
burrow n．（兔子等）所掘的地洞，v．挖洞
janitor n．管理员，管门人
saliva n．唾液，口水
outrageous adj．粗暴的，无礼的
sticky adj．粘的，不慷慨的
scavenge v．（在废物中）寻觅，（动物）食腐肉
impair v．损害，使弱
perspicacious adj．独具慧眼的
perceptible adj．可以感觉到的，可见的
betray v．背叛，暴露
bicker n.v.争吵，口角
hibiscus n．芙蓉，木槿
lido n．浴场，公共游泳池
tambourine n．铃鼓，手鼓
esoteric adj．秘传的，神秘的
unavailing adj．无结果的，徒劳无功的
scroll n．卷轴，纸卷，画卷
implicate v．牵连（于罪行中）
slanderous adj．诽谤的，中伤的
knit v．编结，针织
undaunted adj．不屈不挠的，无畏的
collate v.对照，核对
aver v.极力声明,断言
sate v．使心满意足，使厌足
potency n．能力
renege v．背信，违约
valour n．英勇（
dislodge v．逐出，取出
rumple v．弄皱，弄乱
revoke v．废除，取消
appeasement n．平息，满足
arithmetic n．算术
beam n.(房屋等)大梁,光线
dormant adj．冬眠的，静止的
horizon n．地平线，（思想之）眼界
yeoman n．自耕农，乡下人
unflappable adj.镇定的，从容不迫的
collateral n.抵押品
plateau n．高原，平稳的状态
procurement n．取得,获得
fickle adj．（爱情或友谊上）易变的，不坚定的
viands n．食品，食物
spleenish adj．脾气坏的，易怒的
unhinge v.使发狂，使错乱
filth n．肮脏，粗语
underhanded adj．不光明的，卑鄙的
fertile adj．多产的，肥沃的
barn n.谷仓
unaffected adj．自然的，不矫揉造作的
hypochondria n．忧郁症，臆想病
liability n．倾向，债务
tack n．大头钉，图钉
cant n．隐语，术语
recital n．独奏，吟诵
