clammy adj.冷湿的，冷粘的
indigenous adj．土产的，本地的
portentous adj．凶兆的,有危险的
laxity n．松弛，放纵
neurology n．神经病学
inroad n.侵袭，减少
chandelier n．枝形吊灯（烛台）
perishable adj．（食物）易坏的
oblivion n．遗忘
exceptionable adj.引起反感的
ascend v．上升，攀登
ultramundane adj．超俗的，世界之外的
repository n．贮藏室，仓库
hinge n．铰链，关键
alley n．小巷，小径
relentless adj．无情的，残酷的
ultramundane adj．超俗的，世界之外的
synoptic adj．摘要的，高瞻远瞩的
haemorrhage n．出血（尤指大出血
throng n．一大群，v．拥挤
dolorous adj．悲哀的，忧愁的
galactic adj．星系的，银河系的
tarpaulin n．防水布，油布
defame v．诽谤，中伤
niggling adj．琐碎的，费神的
halo n．（日月等）晕，神像之光环
applicable adj．生效的，适合的，
vengeance n．报仇，报复
kitten n．小猫
insufferable adj．无法忍受的
veer v．转向，改变（话题等）
mercurial adj．善变的，活泼的
effervesce v．冒泡，热情洋溢
unscrupulous adj．肆无忌惮的，无天理的
slue v．（使）旋转
quizzical adj.爱挖苦的，戏弄的
wither v．枯萎，凋零
haggard adj．憔悴的，消瘦的
internment n．拘禁
virtuosity n．精湛技巧，高超
utilitarian adj．功利的，实利的
whit n．一点儿，少量
trespass n．v．侵犯，闯入私人领地
gamut n．全音阶，（一领域的）全部知识
attrition n.消磨,磨损
articulate v．清楚说话，接合
officious adj．爱发命令的，好忠告人的
hypnosis n．催眠状态
syllabus n．教学纲要
foolhardy adj．鲁莽的，有勇无谋的
enrapture v．使狂喜,使高兴
accrue v．（利息等）增大，增多
vegetate v．象植物般生活，无所事事
binge n.狂饮，无节制的行为
conceivable adj．想像得出的，可信的
temptation n．引诱，诱惑物
calculating adj．深谋远虑的，精明的。
luminary n．杰出人物，名人
parochial adj．教区的，思想狭隘的
erasure n．擦掉,擦痕
numismatic adj．钱币学的
nettle n．荨麻，v．烦忧，激恼
muster v．召集，聚集
manumit v．解放（奴隶）
lexical adj．词汇的、词典的
crusade n．为维护理想，原则而进行的运动或斗争
philistine n．庸人，市侩
fell n．兽皮，v．砍伐
hapless adj．不幸的
trivia n．琐事，无价值之物
intimate v．暗示
torso n．（人体的）躯干，躯干像
virile adj．有男子气的，雄健的
revoke v．废除，取消
chrysanthemum n．菊，菊花
renown n．名望，声誉
