contentious adj．好辩的，喜争吵的
unhinge v.使发狂，使错乱
byline n．（列作者名字的）报刊文章首行
ambrosia n.神仙食品，美味
sibilant adj.发咝咝声的(
cathode n.(电)阴极，负极
idolatrous adj．偶像崇拜的
down n．绒毛，汗毛
raconteur n．善于讲故事的人
ore n．矿，矿石
plume n．羽毛v．整理羽毛,骚首弄姿
disfranchise v．剥夺…的权力（尤指选举权）
elaborate v.详尽地说明，阐明
indelible adj．擦试不掉的，不可磨灭的
lecherous adj．好色的
lancinate v．刺、戳
irate n．发怒的．
excision n.切除,割除
relegate v．降级，贬谪
enlightened adj．开明的,有见识的
belch v.打嗝，喷出
rustler n．偷牛（马）贼
helping n．一份或一客食物
addiction n．沈溺，上瘾
supplement v　n．增补，补充
preemption n．先买权,取代
conifer n．针叶树
aromatic adj．芳香的
illustrious adj．著名的，显赫的
precarious adj．危险的
cur n．杂种狗，坏种
unassuming adj．不摆架子的，不造作的
gross adj．总的，粗野的n．整个，全部
impart v．传授，告知
cetacean adj.鲸的，鲸类的
persistent adj．固执的，坚持的
credulity n．轻信，易信
commendable adj.值得称赞的
conjugal adj.婚姻的，夫妻的
utilitarian adj．功利的，实利的
clamour n.吵闹、喧哗
rawhide n．（牛的）生皮
litigious adj．好诉讼的
panoply n．全副穿戴，全副甲胄
feud n．宿怨，不和
rescind v．废除，取消
truculence n．凶猛，粗暴
privilege n．特权,利益
lobster n．龙虾
threadbare adj．磨破的，陈腐的
fettered adj．被拘束的，没自由的
apoplectic adj.中风的，易怒的
collation n.校勘，整理
miscreant n．恶棍，歹徒
residence n．住宅，居留
dehydrate v．除去水份，脱水
strolling adj．巡回演出的
convoluted adj．旋绕的，费解的
saga n．英勇故事，长篇小说
resurrect v．使复活，挖出
rampant adj．蔓生的，猖獗的
abstain v．自动戒绝，抑制
overwhelming adj．巨大的，压倒性的
sacrosanct adj．神圣不可侵犯的
onerous adj．繁重的、麻烦的
stowaway 　n．（藏于轮船，飞机中的）偷乘者
hieroglyph n．象形文字，图画文字
ejaculation n突然大叫
dietitian n．营养学家
pedestal n．（柱石或雕像的）基座
appropriation n．拨款，挪用公款
compliance n.服从，听从
dilate v．（身体某部位）张大，扩大
frisky adj．活泼的，快活的
pliant adj．易受影响的,易弯的
heavy-handed adj．笨手笨脚的
tantamount adj．与…相等的
insolent adj．粗野的，无礼的
gust n．阵风，一阵（情绪）
mediate v．调停
query n．v．质问，疑问，询问
