cult n．宗派，崇拜
gainsay v．否认
tribulation n．苦难，灾难
remonstrance n．抗议，抱怨
heretical adj．异端邪说的
stilted adj．（文章，谈话）不自然的
fecund adj．肥沃的,多产的
skewer n．（烤肉用的）串肉杆v．用杆串好
junk n.废物，废旧货
posterior adj．(在时间,次序上)较后的
sparkle v．闪闪发光，闪耀
firmament n.苍穹，天空
sprain n．v．扭伤
stink v．n．发臭，臭味
maestro n．音乐大师
phantom n．鬼怪，幽灵，幻象
nocturnal adj．夜晚的，夜间发生的
monasticism n．修道生活，禁欲主义
plausible adj．似乎合理的,嘴巧的
slovenly adj．不整洁的，马虎的
threnody n．挽歌，哀歌
detrimental adj．损害的，造成伤害的
obverse n．正面
disquisition n．长篇演讲，专题论文
zygote n．接合子，受精卵
fulsome adj．虚情假意的，丰满的
inundate v．淹没，泛滥
veracity n．真实性，诚实
adherent n．拥护者，党徒
accomplice n．同谋者，帮凶
pungent adj．刺鼻的,苛刻的
enumerate v．列举枚举
medley n．混杂
intervene v．介入,干涉
accrue v．（利息等）增大，增多
ascend v．上升，攀登
counteract v．消除，抵消
peremptory adj．专横的，不容反抗的
segment n．部分
fleece n．生羊皮，羊毛
momentum n．推进力，势头
masonry n．石工技术，石屋
brake n．煞车v．减速，阻止
hilt n．（剑或刀之）柄
burgeon v．迅速成长，发展
sufficient adj．足够的
lacerate v．撕裂，伤害
twinge n．（生理，心理上的）剧痛，刺痛
clamp n.钳子，v.钳紧
sledgehammer n．长柄大锤
wile n．诡计，花言巧语
split v．n．分裂，裂开
tenon n.凸榫，榫舌
skull n．头盖骨，脑壳
mimicry n．模仿，（动物等）拟态伪装
frowzy adj．不整洁的，污秽的
eclecticism n．折衷主义
self-assertion n．坚持己见，自信
