sequential adj．连续的，一连串的
magenta n．adj．紫红色[福www哇FｖａL小cＮ说]（的染料）
marginal adj．书页空白处的，不重要的
venality n．唯利是图
shade n．阴影，细微差别
prophylactic adj．预防疾病的
sifter n．筛子
arsonist n．纵火犯
pitch n．沥青,柏油
reprisal n．（政治或军事的）报复
equitation n．骑术
ebullient adj．兴冲冲的，热情奔放的
functionary n．小官，低级公务员
delirium n．精神错乱，发狂
sedulous adj．聚精会神的、勤勉的
yeast n．酵母，兴奋
permissive adj．过份纵容的
phantom n．鬼怪，幽灵，幻象
speck n．小点，斑点，少量
liturgical adj．礼拜式的
orthopedics n．整形手术，整形外科
nubile adj．（女孩）到婚嫁年龄的，吸引人的
vainglorious adj．自负的，虚荣心强的
impediment n．妨碍、阻碍物
pinch v．捏，掐n．一撮，一点
subversive adj．颠覆性的，破坏性的
detached adj．分开的、超然公平的
sizzler n．炎热天气、大热天
palette n．调色板
clench v.握紧，咬紧(牙关)
requisition n．要求，请求
rite n．（宗教的）仪式
domain n．领土，领域
augury n.预言,征兆,占卜
drawl v．慢吞吞说，拉长腔调说
waggish adj．诙谐的，滑稽的
convert v．使改变（信仰等）n．改变信仰的人
mattress n．床垫
mnemonics n．记忆法，
inclination n．斜坡，爱好
detrimental adj．损害的，造成伤害的
gallows n．绞刑架，绞台
imponderable adj．（重要性）无法衡量的
cloy n.(吃甜食)生腻，吃腻
factotum n．杂役,听差
dappled adj．有斑点的，斑驳的
drenched adj．湿透的
speculate v．沉思，思索，投机
penchant n．爱好，嗜好
sear v．（以烈火）烧灼
disport v．玩耍、嬉戏
milk v.挤奶，抽取，套出(秘密等)
infelicitous adj．不妥当的，不得体的
ally n．盟国，支持者
liturgical adj．礼拜式的
escalate v．(战争等)升级,扩大,上升
impoverish v使成赤贫
disdainful adj．鄙视的
maelstrom n．大漩涡，灾祸
sonorous adj．（声音）宏亮的
modicum n．少量
vesture n．衣服，覆盖物
kinetic adj．运动的
foolhardy adj．鲁莽的，有勇无谋的
facade n．建筑物的正面,外表
snips n．铁剪
jerk n.v．猛然一拉
hardheaded adj．（商业上）现实的，精明的
carol n．赞美诗，颂歌
etching n.蚀刻技术
induct v．使就职，使入伍
eminent adj．著名的、显著的
jolt n.颠簸，震摇
ruddy adj．（脸色）红润的，红色[福www哇FｖａL小cＮ说]的
aversion n.嫌恶,憎恨
fulsome adj．虚情假意的，丰满的
snarled adj．纠缠不清的
demolition n．破坏，拆除
storehouse 　n．宝库，见识广博之人
repine v．不满，心中抱怨
verdant adj．青葱的，翠绿的
shallop n．轻舟，小舟
prodigious adj．很大的,巨大的
ballerina n.芭蕾舞女演员
parquetry n．镶木地板艺术或图案
interaction n．相互作用（影响）
maelstrom n．大漩涡，灾祸
replete adj．饱满的，塞满的
invincible adj．不可征服的，难以制服的
