diatribe n．（口头或书面猛烈的）抨击，抨击性演说
bereave v．丧亲，夺去
haft n．柄，把柄
mollycoddle v．过份爱惜，娇惯n．娇生惯养的人
allude v．间接提到，暗指
remit v．免除，宽恕，汇款
arthritis n关节炎
militant adj．好战的，好暴力的
adduce v．给予（理由），举出
senescent adj．衰老的、老化的
clique n.朋党派系，小集团
hypochondria n．忧郁症，臆想病
spelunker n.爱好探索洞穴的人
trash n．废物，垃圾
ravish v．迷住，强夺
drizzly adj．毛毛细雨的（a　drizzly　day）
baffling adj.令人困惑的
resurgence n．复兴，再起
lease n．租约，租期，v．出租
remains n．遗址，废墟
emission n．发出，发光,放射物
swarm n．（蜜蜂）一群，一群（人）
rendering n．演出，翻译
prospectus n.章程，内容简介
articulate v．清楚说话，接合
obstetrics n．产科学，助产术
aficionado n.爱好者
behold v．目睹，看见
serenade n．夜曲，小夜曲
extremity n．极度,绝境
authoritative adj.权威性的,命令式的
abduct v．绑架，拐走
exceptionable adj.引起反感的
deification n．神化，崇拜
deadlock n．相持不下，僵局
malignity n．邪恶，恶毒
omniscient adj．无所不知的、博识的
linear adj．线的，成直线的
pulchritudinous adj．美丽的
feasible adj．可行的，可能的
custodian n．管理员，监护人
detonation n．爆炸（声）
pollster n．民意测验家
resplendence n．灿烂，辉煌
haven n．安息所，避难所
croak n．蛙鸣声
wanton adj．顽皮的，放纵的
laxity n．松弛，放纵
allegiance n．忠诚，拥护
impeccable adj．无瑕疵的
fondle v．抚弄，抚摸
aphasia n．失语症
arteriosclerosis n.动脉硬化
irony n．反话，出人意料的事情或情况
petrology n．岩石学
desultory adj．不连贯的，散漫的
fussy adj．爱挑剔的
pith n．精髓,要点
self-possession n．沉着，镇定
pillage n．v．抢劫，掠夺
memorial n．纪念碑adj．纪念性的
plumule n.(植)胚芽，(鸟)绒羽
scaffold n．脚手架（造房时搭的架子）
recidivism n．累犯，重犯
mollify v．安慰，安抚
sober adj．清醒的，庄重的
peppery adj．胡椒味的，暴躁的
reflect v．反射，仔细考虑
melodious adj．悦耳的
translucent adj．半透明的
commodious adj.宽敞的
nonconformity n．不遵从（传统）
monograph n．专题论文
polymath n．知识广博者
volubility n．健谈，流畅
discommode v.使烦恼，扰乱
sheriff n．县治安官
incompetent adj．无能力的不能胜任的
gynecoid adj．妇女的，有女性特征的
agronomist n．农学家
lurk v．潜伏，埋伏
truce n．停战，休战（协定）
surefire adj.一定会发生的，定成功的
mottled adj．有杂色的，斑驳的
tart adj．酸的，尖酸的
blizzard n．暴风雪
predominant adj．有势力的,显著的
