gravel n．碎石，砂砾
feckless adj．无目标无计划的
malcontent n．不满分子，反抗者
forensic adj．法庭的，辩论的
affidavit n．宣誓书
subcutaneous adj.皮下的
lampooner n．讽刺作家
virus n．病毒
prig n．自以为比别人更有道德的人
elite n.精华，中坚
irreproachable adj．不可指责的，无过失的
vacillate v．游移不定，踌躇
nebula n．星云，喷雾剂
niggling adj．琐碎的，费神的
rifle n．步枪，v．洗劫，抢劫．
abdicate v．让位，辞职，放弃
descendant n．后代，后裔
asylum n.避难所,庇护所
lasso n．套索（捕捉牛、马用）
abdomen n．腹，下腹（胸部到腿部的部份）
ingredient n．成份
fumes n．（强烈而刺激的）气味，气体
spontaneous adj．自发的，自然的
loutish adj．粗鲁的
litigious adj．好诉讼的
ingrained adj．根深蒂固的
buoyant adj．易浮的，快乐的．
reprimand n．v．训诫，谴责
cavil v．挑毛病，吹毛求疵
intermittent adj．断断续续的，间歇的
bovine adj．（似）牛的，迟钝的
hector v．凌辱，威吓
warrant n．正当理由，逮捕证
obligation n．责任，债务
vinegared adj．酸的，尖刻的
figment n．虚构的东西
sacred adj．神圣的，庄严的
penetrating adj．敏锐的，尖锐的
exceed v.超过,超出
anguished adj．很痛苦的
recumbent adj．侧卧的，休息的
compendium n.简要，概略
lope n．轻快的步伐，v．轻快地迈着大步
familiarity n．精通,亲近,不拘礼仪
grandiloquent adj（语言等）夸张的，夸大的
stripling 　n．年轻男子
diarrhoea n.腹泻
juggernaut n．摧毁一切的强大力量
dejection n．沮丧，颓丧
recantation n．改变宗教信仰
fillet,filet n．束发带，鱼肉片
haunting adj．不易忘怀的
tarry v.耽搁，延迟
empathy n．心意相通,(感情等)融为一体
obloquy n．大骂，斥责
transmit v．传送，传播
beguile v．欺骗，诱骗
radiance n．发光，喜悦
slumberous adj．昏昏欲睡的
log n．v．日志，
crooked adj．弯曲的，扭曲的
sprain n．v．扭伤
nubile adj．（女孩）到婚嫁年龄的，吸引人的
scandal n．丑闻，恶意诽谤
abeyance n．中止，暂搁
arbiter n．权威人士，泰斗
mottled adj．有杂色的，斑驳的
retaliate v．报复，反击
pier n．桥墩，码头
residual adj．残余的，剩余的
glider n滑翔机（
approximate adj．大约的，估计的
subliminal adj．潜意识的，下意识的
castigation n．申斥，强烈反对
