suffuse v．（色彩等）弥漫，染遍
aromatic adj．芳香的
prolong v．延长，拉长
fishery n．渔场
envisage v．正视,想象
anthropology n．人类学
wimple n.头巾，v.用头巾围
cajole v．（以甜言蜜语）哄骗
seduce v．勾引、诱惑
spire n．（教堂）尖顶，尖塔，高点
kiosk n．售货亭，电话亭
concession n．让步，特许权
exuberant adj．(人)充满活力的(植物)茂盛的
guy n．（铁塔等的）支索，牵索
appropriation n．拨款，挪用公款
snug adj．温暖的，舒适的
rooster n．公鸡
seditious adj．煽动性的
helm n．舵，驾驶盘
psychedelic adj．引起幻觉的,n．迷幻药
refinement n．提炼，文雅
occidental n．adj．西方（的）
absurdity n．荒谬
redolent adj．芬芳的芳香的
eruption n．爆发
disaster n．灾难，大不幸
salutary adj．有益的，有益健康的
hostility n．敌对状态，敌意
gestation n．怀孕，孕育时期
complacency n.自满，自得
inhumane adj不近人情的
renounce v．宣布放弃，抛弃
ingredient n．成份
classify v.分类，归类
inaugurate v．举行就职典礼，开创
stipple 　v．点画，点描．
callus n．老茧，皮肤硬厚处。
entitle v．使有权(做某事)
linguistics n．语言学
astigmatism n．散光
corporate adj．团体的，共同的
nonesuch n．无匹敌的人，无双的人
pulverize v．压成细粉,彻底击败
pelt n．毛皮．v．投掷，（雨）猛降
swarthy adj．（皮肤等）黝黑的
crepuscular adj．朦胧的，微明的
famished adj．非常饥饿的
feigned adj．假装的，不真诚的
empirical adj．经验的、实证的
slanderous adj．诽谤的，中伤的
grandiloquent adj（语言等）夸张的，夸大的
pabulum n．食物，精神食粮
intrinsic adj．固有的，内在的
oppressive adj．残酷的、压迫的
fussy adj．爱挑剔的
sage adj．智慧的n．智者
jerk n.v．猛然一拉
truculent adj．残暴的，凶狠的
fantasia n．幻想曲,组合乐曲
disquiet v．n．担心，焦虑
gabble v．急促而不清楚地说
hush v．n．肃静，安静
glare v．发出眩目光芒，怒目而视
interim n．中间时期、过渡时期adj．暂时的
vindictive adj．报复性的
intestine n．肠
glamour n．魅力，魔力
spiel n.滔滔不绝的讲话
masonry n．石工技术，石屋
wallow v．n．（猪等）在泥水中打滚，沉溺于
platonic adj．纯友谊的(爱情)
saliferous adj．含盐的，产盐的
